event_id,title,category_type,window_days,direction,percent_change,raw_change,get_in_price,event_utc_datetime
128837480,Morgan Page - Classics Only (21+ Event),CONCERT,14,up,124.0,1.24,71.0,2026-06-20 05:00:00+00:00
96587478,CRi - Christophe Dube,CONCERT,30,up,124.0,1.24,96.0,2026-06-26 05:00:00+00:00
112230444,Mississppi Wolfpack at Wheeling Miners,SPORT,7,up,124.0,1.24,48.0,2026-06-20 23:00:00+00:00
121417915,Ship Wrek,CONCERT,30,up,123.0,1.23,167.0,2026-06-20 02:00:00+00:00
128401330,Esseks,CONCERT,14,up,122.0,1.22,51.0,2026-06-19 01:00:00+00:00
21483087,Los Angeles Angels at Athletics,SPORT,3,up,122.0,1.22,47.0,2026-06-21 20:05:00+00:00
7854945,Hotel California,CONCERT,3,up,121.0,1.21,161.0,2026-06-19 01:30:00+00:00
82390156,Audrey Hobert,CONCERT,30,up,119.0,1.19,98.0,2026-06-25 02:00:00+00:00
92360515,Mini Kiss,CONCERT,7,up,118.0,1.18,153.0,2026-06-26 23:00:00+00:00
91015065,String Cheese Incident,CONCERT,7,up,118.0,1.18,93.0,2026-06-21 22:45:00+00:00
54892812,Anthony Jeselnik,THEATER,30,up,117.0,1.17,219.0,2026-06-26 02:00:00+00:00
122714590,12 Rods,CONCERT,30,up,117.0,1.17,113.0,2026-06-20 23:00:00+00:00
61398531,Guys and Dolls,THEATER,30,up,117.0,1.17,133.0,2026-06-26 00:00:00+00:00
54893239,Anthony Jeselnik,THEATER,30,up,117.0,1.17,219.0,2026-06-27 02:00:00+00:00
54893240,Anthony Jeselnik,THEATER,30,up,117.0,1.17,219.0,2026-06-27 04:30:00+00:00
76902115,Chris Stapleton,CONCERT,30,up,117.0,1.17,174.0,2026-06-26 23:30:00+00:00
132209427,Brian Fallon,CONCERT,3,up,116.0,1.16,329.0,2026-06-21 02:00:00+00:00
92581577,Howard County Fair Races,SPORT,14,up,115.0,1.15,73.0,2026-06-24 23:45:00+00:00
92581577,Howard County Fair Races,SPORT,7,up,115.0,1.15,73.0,2026-06-24 23:45:00+00:00
29985226,Oh Mary,THEATER,30,up,115.0,1.15,236.0,2026-06-24 23:30:00+00:00
7854945,Hotel California,CONCERT,7,up,114.0,1.14,161.0,2026-06-19 01:30:00+00:00
1415968,The Music Man,THEATER,14,up,114.0,1.14,95.0,2026-06-21 18:00:00+00:00
7854945,Hotel California,CONCERT,30,up,114.0,1.14,161.0,2026-06-19 01:30:00+00:00
7854945,Hotel California,CONCERT,14,up,114.0,1.14,161.0,2026-06-19 01:30:00+00:00
21483096,Minnesota Twins at Arizona Diamondbacks,SPORT,3,up,114.0,1.14,49.0,2026-06-21 19:15:00+00:00
107820662,Widowspeak,CONCERT,7,up,114.0,1.14,136.0,2026-06-19 23:30:00+00:00
21482904,Minnesota Twins at Arizona Diamondbacks,SPORT,3,up,113.0,1.13,39.0,2026-06-21 02:10:00+00:00
1224755,A Beautiful Noise,THEATER,30,up,113.0,1.13,130.0,2026-06-24 23:30:00+00:00
21482904,Minnesota Twins at Arizona Diamondbacks,SPORT,7,up,113.0,1.13,39.0,2026-06-21 02:10:00+00:00
100201962,moe. with Umphreys McGee,CONCERT,3,up,113.0,1.13,24.0,2026-06-20 23:00:00+00:00
58796931,Atomic Saloon Show (18+ Event),THEATER,30,up,112.0,1.12,156.0,2026-06-27 04:30:00+00:00
58796930,Atomic Saloon Show (18+ Event),THEATER,30,up,112.0,1.12,156.0,2026-06-27 02:30:00+00:00
77736665,Titanique,THEATER,30,up,112.0,1.12,228.0,2026-06-21 19:00:00+00:00
58794954,Atomic Saloon Show (18+ Event),THEATER,30,up,112.0,1.12,156.0,2026-06-21 04:30:00+00:00
58794341,Atomic Saloon Show (18+ Event),THEATER,30,up,112.0,1.12,156.0,2026-06-20 04:30:00+00:00
58794340,Atomic Saloon Show (18+ Event),THEATER,30,up,112.0,1.12,156.0,2026-06-20 02:30:00+00:00
68342774,Ogden Raptors at Boise Hawks,SPORT,3,up,111.0,1.11,24.0,2026-06-20 01:05:00+00:00
68342774,Ogden Raptors at Boise Hawks,SPORT,30,up,111.0,1.11,24.0,2026-06-20 01:05:00+00:00
68342774,Ogden Raptors at Boise Hawks,SPORT,14,up,111.0,1.11,24.0,2026-06-20 01:05:00+00:00
120128880,Greg Loiacono,CONCERT,30,up,111.0,1.11,124.0,2026-06-20 02:00:00+00:00
68342774,Ogden Raptors at Boise Hawks,SPORT,7,up,111.0,1.11,24.0,2026-06-20 01:05:00+00:00
89470563,New York Knicks at San Antonio Spurs (NBA Finals Game 7 San Antonio Home Game 4) (If Necessary),SPORT,7,up,110.0,1.1,4301.0,2026-06-20 00:30:00+00:00
89470563,New York Knicks at San Antonio Spurs (NBA Finals Game 7 San Antonio Home Game 4) (If Necessary),SPORT,3,up,109.0,1.09,4301.0,2026-06-20 00:30:00+00:00
78982712,Nick Hoff,THEATER,14,up,108.0,1.08,124.0,2026-06-26 00:00:00+00:00
123799889,Clare Bowen and Johnson Jackson,CONCERT,14,up,108.0,1.08,306.0,2026-06-20 18:00:00+00:00
123799889,Clare Bowen and Johnson Jackson,CONCERT,7,up,108.0,1.08,306.0,2026-06-20 18:00:00+00:00
123799889,Clare Bowen and Johnson Jackson,CONCERT,3,up,108.0,1.08,306.0,2026-06-20 18:00:00+00:00
127989080,NRHA Derby - Saturday,SPORT,3,up,107.0,1.07,76.0,2026-06-20 13:00:00+00:00
127989080,NRHA Derby - Saturday,SPORT,14,up,107.0,1.07,76.0,2026-06-20 13:00:00+00:00
127989080,NRHA Derby - Saturday,SPORT,7,up,107.0,1.07,76.0,2026-06-20 13:00:00+00:00
58794955,Atomic Saloon Show (18+ Event),THEATER,14,up,106.0,1.06,173.0,2026-06-21 02:30:00+00:00
86327451,John Morgan - Comedian (21+ Event),THEATER,30,up,105.0,1.05,137.0,2026-06-20 23:30:00+00:00
86327450,John Morgan - Comedian (21+ Event),THEATER,14,up,105.0,1.05,137.0,2026-06-21 02:00:00+00:00
86327450,John Morgan - Comedian (21+ Event),THEATER,30,up,105.0,1.05,137.0,2026-06-21 02:00:00+00:00
86326367,John Morgan - Comedian (21+ Event),THEATER,30,up,105.0,1.05,137.0,2026-06-20 00:00:00+00:00
86327451,John Morgan - Comedian (21+ Event),THEATER,14,up,105.0,1.05,137.0,2026-06-20 23:30:00+00:00
86326367,John Morgan - Comedian (21+ Event),THEATER,14,up,105.0,1.05,137.0,2026-06-20 00:00:00+00:00
78982712,Nick Hoff,THEATER,30,up,104.0,1.04,124.0,2026-06-26 00:00:00+00:00
110460702,Malik B,THEATER,30,up,103.0,1.03,166.0,2026-06-19 01:30:00+00:00
132209427,Brian Fallon,CONCERT,7,up,103.0,1.03,329.0,2026-06-21 02:00:00+00:00
118822230,Elevate Dance Company - 10th Anniversary Showcase,THEATER,30,up,103.0,1.03,79.0,2026-06-21 00:00:00+00:00
116631275,UMI,CONCERT,30,up,101.0,1.01,185.0,2026-06-26 02:30:00+00:00
