event_id,title,category_type,event_category_name,forecast_value,forecast_layover_text,get_in_price,stats_total_quantity,event_utc_datetime
17466019,Jabbawockeez,CONCERT,Rap/Hip Hop,-0.03,,74.0,349,2026-06-26 03:00:00+00:00
60529265,Evanescence,CONCERT,Rock,-0.03,,31.0,2143,2026-06-21 22:30:00+00:00
78562863,Matt Mathews,THEATER,Comedy,-0.03,,72.0,75,2026-06-20 02:30:00+00:00
117088388,Black Coffee,CONCERT,Dance/Electronica,-0.03,,271.0,187,2026-06-22 00:00:00+00:00
87241302,Ella Langley,CONCERT,Rock,-0.03,,362.0,144,2026-06-26 23:00:00+00:00
1342450,San Francisco Symphony - Gaffigan Conducts Beethoven 9,CONCERT,Classical,-0.03,,163.0,186,2026-06-21 02:30:00+00:00
82822566,Summer Walker,CONCERT,R&B,-0.03,,41.0,5490,2026-06-19 00:30:00+00:00
21483124,Baltimore Orioles at Los Angeles Angels,SPORT,MLB Baseball,-0.03,,10.0,5832,2026-06-23 01:38:00+00:00
103122511,Lauren Daigle,CONCERT,Adult Contemporary,-0.03,,236.0,12,2026-06-21 00:00:00+00:00
118391704,The Strokes,CONCERT,Alternative,-0.03,,147.0,1812,2026-06-23 23:00:00+00:00
121416197,Jane Remover,CONCERT,New Age,-0.03,,111.0,98,2026-06-19 04:00:00+00:00
99539432,Ziggy Marley,CONCERT,Reggae,-0.03,,408.0,8,2026-06-26 03:00:00+00:00
29557147,Machine Gun Kelly,CONCERT,Rock,-0.03,,34.0,531,2026-06-20 00:00:00+00:00
81956956,The Human League,CONCERT,R&B,-0.04,,66.0,1121,2026-06-22 00:30:00+00:00
20453405,Piano Man,CONCERT,Rock,-0.04,,79.0,108,2026-06-19 01:30:00+00:00
88800934,Chris Lake,CONCERT,Dance/Electronica,-0.04,,123.0,76,2026-06-21 00:00:00+00:00
63796285,Alison Krauss,CONCERT,Country and Folk,-0.04,,18.0,775,2026-06-24 23:30:00+00:00
21483633,Houston Astros at Detroit Tigers,SPORT,MLB Baseball,-0.04,,26.0,4308,2026-06-26 22:40:00+00:00
119255112,Theresa Caputo,THEATER,Public Speaking,-0.04,,106.0,412,2026-06-20 00:00:00+00:00
112662478,Kali Uchis with Mariah The Scientist,CONCERT,Pop,-0.04,,30.0,2021,2026-06-20 00:00:00+00:00
82389274,Phoenix Mercury at Indiana Fever,SPORT,WNBA,-0.04,,21.0,4735,2026-06-23 00:00:00+00:00
91016953,Dirty Heads,CONCERT,Rock,-0.04,,114.0,128,2026-06-26 01:00:00+00:00
21483217,Baltimore Orioles at Los Angeles Angels,SPORT,MLB Baseball,-0.04,,10.0,5851,2026-06-24 01:38:00+00:00
21482665,Baltimore Orioles at Los Angeles Dodgers,SPORT,MLB Baseball,-0.04,,88.0,5281,2026-06-20 02:10:00+00:00
81959289,The Human League,CONCERT,R&B,-0.04,,79.0,614,2026-06-27 00:00:00+00:00
78562864,Goose,CONCERT,Rock,-0.04,,30.0,1203,2026-06-19 23:30:00+00:00
82389107,New York Liberty at Los Angeles Sparks,SPORT,WNBA,-0.04,,40.0,1943,2026-06-22 00:00:00+00:00
90569642,Charlie Wilson,CONCERT,R&B,-0.04,,118.0,1229,2026-06-19 00:00:00+00:00
91013097,Jimmy Eat World,CONCERT,Rock,-0.05,,111.0,34,2026-06-19 22:30:00+00:00
100205151,Charley Crockett,CONCERT,Blues and Jazz,-0.05,,101.0,181,2026-06-26 01:00:00+00:00
113097646,Wynonna Judd and Melissa Etheridge,CONCERT,Country and Folk,-0.05,,288.0,32,2026-06-19 01:00:00+00:00
21483226,Kansas City Royals at Tampa Bay Rays,SPORT,MLB Baseball,-0.05,,21.0,2579,2026-06-23 22:40:00+00:00
97255209,Darius Rucker,CONCERT,Rock,-0.05,,46.0,2040,2026-06-26 23:00:00+00:00
104018342,Nelly,CONCERT,Rap/Hip Hop,-0.05,,110.0,95,2026-06-26 02:30:00+00:00
97473298,Ziggy Marley,CONCERT,Reggae,-0.05,,102.0,41,2026-06-20 02:30:00+00:00
64224962,Khalid,CONCERT,R&B,-0.05,,52.0,1424,2026-06-20 00:30:00+00:00
87241135,Ella Langley,CONCERT,Rock,-0.05,,334.0,248,2026-06-25 23:00:00+00:00
21483636,Los Angeles Dodgers at San Diego Padres,SPORT,MLB Baseball,-0.05,,108.0,4880,2026-06-27 01:40:00+00:00
21483629,Athletics at Los Angeles Angels (Plaid Santa Hat Giveaway),SPORT,MLB Baseball,-0.05,,10.0,7522,2026-06-27 01:38:00+00:00
100201973,Josh Johnson,THEATER,Comedy,-0.05,,66.0,236,2026-06-21 00:30:00+00:00
21483222,Milwaukee Brewers at Cincinnati Reds,SPORT,MLB Baseball,-0.05,,17.0,3327,2026-06-23 23:10:00+00:00
84566655,The Runarounds,CONCERT,Rock,-0.05,,73.0,59,2026-06-20 00:00:00+00:00
23579859,Nate Bargatze (Rescheduled from 6/5/26),THEATER,Comedy,-0.05,,62.0,3601,2026-06-22 00:00:00+00:00
116406255,Waxahatchee,CONCERT,Alternative,-0.05,,145.0,12,2026-06-20 23:00:00+00:00
23165494,Piano Man,CONCERT,Rock,-0.06,,77.0,95,2026-06-26 01:30:00+00:00
88456776,Yellowcard,CONCERT,Alternative,-0.06,,163.0,10,2026-06-19 00:00:00+00:00
54891896,Daniel Tosh,THEATER,Comedy,-0.06,,72.0,169,2026-06-22 23:30:00+00:00
17465622,Carrot Top (18+ Event),THEATER,Comedy,-0.06,,79.0,210,2026-06-21 03:00:00+00:00
87643284,Godsmack,CONCERT,Rock,-0.06,,46.0,1812,2026-06-21 23:00:00+00:00
54892152,Daniel Tosh,THEATER,Comedy,-0.06,,128.0,39,2026-06-23 23:00:00+00:00
29122879,Brad Williams (Rescheduled from 5/10),THEATER,Comedy,-0.06,,57.0,264,2026-06-27 00:00:00+00:00
23583407,Carpenters Legacy,CONCERT,Pop,-0.06,,47.0,231,2026-06-27 00:00:00+00:00
78980568,James Taylor and His All-Star Band,CONCERT,Adult Contemporary,-0.06,,40.0,980,2026-06-20 23:30:00+00:00
